Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
511359.0,BSE,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,X ,10.0,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
