Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
523120.0,BSE,Ador Multiproducts Ltd,ADORMUL,ADOR MULTIPRODUCTS LTD.,Active,X ,10.0,INE628D01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,,,,,,
