Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
532811.0,BSE,Ahluwalia Contracts (India) Ltd,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,A ,2.0,INE758C01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,,,,,,,
