Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
519216.0,BSE,Ajanta Soya Limited,AJANTSOY,AJANTA SOYA LTD.,Active,X ,2.0,INE601B01023,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,,,,,,
