Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
526519.0,BSE,Alpine Housing Development Corporat,ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,Active,X ,10.0,INE840D01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,,,,,,
