Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
500008.0,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,,,,,,,
