Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
531017.0,BSE,Arihants Securities ltd.,ARISE,ARIHANT'S SECURITIES LTD.,Active,X ,10.0,INE190D01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,,,,,,
