Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
531179.0,BSE,Arman Financial Services Limited,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,Active,B ,10.0,INE109C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
