Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
500016.0,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.0,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,,,,,,
