Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
530245.0,BSE,Aryaman Financial Services Ltd.,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,Active,X ,10.0,INE032E01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
