Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
512247.0,BSE,"Ashirwad Capital Ltd.,",ASHCAP,ASHIRWAD CAPITAL LTD.,Active,X ,1.0,INE894A01026,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,,,,,,,
