Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
519532.0,BSE,Asian Tea & Exports Ltd.,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,Active,X ,10.0,INE822B01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,,,,,,,
