Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
540611.0,BSE,AU Small Finance Bank Limited,AUBANK,AU Small Finance Bank Ltd,Active,A ,10.0,INE949L01017,Other Bank,Equity,Financial Services,Financial Services,Banks,Other Bank,,,,,,,
