Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539661.0,BSE,ACE MEN ENGG WORKS LIMITED,ACEMEN,Ace Men Engg Works Ltd,Active,XT,10.0,INE023R01018,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
