Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
540146.0,BSE,ADITYA CONSUMER MARKETING LIMITED,ACML,Aditya Consumer Marketing Ltd,Active,M ,10.0,INE427V01013,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,,,,,,,
