Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
539277.0,BSE,Alstone Textiles (India) Limited,ALSTONE,Alstone Textiles (India) Ltd,Active,X ,10.0,INE184S01016,Distributors,Equity,Consumer Discretionary,Consumer Services,Retailing,Distributors,,,,,,,
,,,,,,,,,,,,,,,2022-08-24,15.0,15.75,15.0,15.75,15.75,1900.0
,,,,,,,,,,,,,,,2022-08-25,16.530001,16.530001,16.530001,16.530001,16.530001,200.0
,,,,,,,,,,,,,,,2022-08-26,17.35,17.35,17.35,17.35,17.35,200.0
,,,,,,,,,,,,,,,2022-08-29,18.209999,18.209999,18.209999,18.209999,18.209999,95.0
,,,,,,,,,,,,,,,2022-08-30,19.120001,19.120001,19.120001,19.120001,19.120001,200.0
,,,,,,,,,,,,,,,2022-09-01,20.07,20.07,20.07,20.07,20.07,200.0
,,,,,,,,,,,,,,,2022-09-02,21.049999,21.049999,21.049999,21.049999,21.049999,200.0
,,,,,,,,,,,,,,,2022-09-05,22.1,22.1,22.1,22.1,22.1,200.0
,,,,,,,,,,,,,,,2022-09-06,23.200001,23.200001,23.200001,23.200001,23.200001,200.0
,,,,,,,,,,,,,,,2022-09-07,24.35,24.35,24.35,24.35,24.35,200.0
,,,,,,,,,,,,,,,2022-09-08,26.75,26.75,26.75,26.75,26.75,200.0
,,,,,,,,,,,,,,,2022-09-09,29.4,29.4,29.4,29.4,29.4,200.0
,,,,,,,,,,,,,,,2022-09-12,32.299999,32.299999,32.299999,32.299999,32.299999,200.0
,,,,,,,,,,,,,,,2022-09-13,33.900002,33.900002,33.900002,33.900002,33.900002,200.0
,,,,,,,,,,,,,,,2022-09-14,35.549999,35.549999,35.549999,35.549999,35.549999,200.0
,,,,,,,,,,,,,,,2022-09-15,37.299999,37.299999,37.299999,37.299999,37.299999,200.0
,,,,,,,,,,,,,,,2022-09-16,39.150002,39.150002,39.150002,39.150002,39.150002,200.0
,,,,,,,,,,,,,,,2022-09-19,41.099998,41.099998,41.099998,41.099998,41.099998,200.0
,,,,,,,,,,,,,,,2022-09-20,43.150002,43.150002,43.150002,43.150002,43.150002,200.0
