Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
531761.0,BSE,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Active,A ,10.0,INE126J01016,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,,,,,,
