Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
506074.0,BSE,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,,,,,,,
