Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
538713.0,BSE,Atishay Limited,ATISHAY,Atishay Ltd,Active,X ,10.0,INE011R01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,,,,,,,
